% function evaluation | noise-free fitness - Fopt (-6.211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.166260786e+09 +3.166260786e+09 +3.166260165e+09 +3.166260165e+09 +3.0753e+00 -1.6794e+00 +1.9486e+00 +3.9598e+00 -3.9355e+00 +1.0204e+00 +4.3222e+00 -4.6056e+00 +3.5309e-01 +2.7981e+00 -5.8994e-01 -1.0014e+00 +4.9003e+00 +1.3262e+00 +2.6941e+00 +4.5728e+00 -2.8814e+00 -2.9207e+00 +2.8543e+00 +4.6568e+00
3 +4.939159285e+08 +4.939159285e+08 +4.939153074e+08 +4.939153074e+08 +4.2951e+00 +1.3014e+00 +1.7161e+00 +3.7340e+00 +2.7639e+00 +4.6618e-02 -1.1071e+00 +3.1456e+00 -1.7715e-01 +4.6556e+00 -2.8948e+00 +4.4183e+00 +1.8851e+00 +7.7689e-01 -6.6660e-01 -2.2067e+00 +4.0124e+00 +1.0482e+00 -8.4260e-01 -4.5518e+00
27 +3.306429949e+08 +3.306429949e+08 +3.306423737e+08 +3.306423737e+08 -1.5689e+00 +3.6797e+00 -2.9290e+00 -3.4986e+00 +9.4273e-01 +3.1909e+00 -1.7595e+00 -3.1018e+00 +4.9751e+00 +3.6158e+00 +3.9740e+00 +4.1142e+00 +1.7666e+00 +1.9960e+00 -1.6194e+00 -1.9202e+00 +2.2086e+00 -1.7091e+00 -1.0809e+00 +6.8124e-02
47 +3.114128406e+08 +3.114128406e+08 +3.114122195e+08 +3.114122195e+08 +6.6933e-01 +4.6053e+00 -4.8631e+00 -4.4457e+00 +7.8915e-02 -4.1867e+00 +5.2675e-01 +2.6039e+00 -4.5943e+00 +4.7425e+00 -3.0008e+00 +3.8368e+00 -1.8594e+00 -1.5923e+00 -7.1824e-01 -3.8553e+00 +1.0821e-01 +2.9435e+00 +1.6080e+00 +2.4094e+00
61 +2.557332211e+08 +2.557332211e+08 +2.557326000e+08 +2.557326000e+08 -2.8069e+00 +3.2580e+00 +4.1454e+00 -3.1864e+00 +5.8004e-01 -1.6519e-01 +9.0211e-01 +4.9168e+00 +3.8905e-01 -2.0926e+00 +4.9774e+00 +3.5980e+00 +2.1098e+00 +1.1356e+00 +4.3619e+00 -8.4060e-01 -4.7554e+00 +1.3493e+00 +4.0879e+00 +4.6933e+00
90 +1.680843534e+08 +1.680843534e+08 +1.680837323e+08 +1.680837323e+08 -2.8179e-01 -8.9128e-01 +2.1461e+00 -7.0936e-01 -4.6257e+00 -1.4651e+00 +4.8451e+00 +3.7292e+00 +4.1859e+00 +2.8345e+00 -1.6840e+00 +3.1395e+00 -3.6681e-01 +5.9883e-01 +9.9212e-01 -1.4104e+00 +2.2762e+00 +1.3860e-01 +2.2875e+00 +2.0535e+00
258 +1.467540252e+08 +1.467540252e+08 +1.467534040e+08 +1.467534040e+08 -2.8115e+00 +3.0910e+00 -1.8247e+00 -4.9075e+00 +1.4122e+00 -2.0637e+00 +2.3552e+00 +1.9531e+00 +4.1928e+00 -4.2378e+00 -3.8762e+00 -3.7475e-02 +4.4331e+00 +2.3587e+00 -2.9728e+00 -3.6657e+00 +3.8865e+00 +1.0651e+00 -2.6725e+00 +2.5072e+00
792 +6.592665842e+07 +6.592665842e+07 +6.592603731e+07 +6.592603731e+07 -3.2511e-01 +1.7128e+00 +2.0503e+00 +6.9269e-01 -2.1432e+00 -3.0567e+00 +2.9867e+00 +4.3901e-01 +4.3050e+00 -1.3196e+00 -1.6944e+00 +4.5955e-02 +4.2136e+00 +1.8412e+00 +1.9546e+00 -2.7814e+00 +1.8509e+00 +4.9895e+00 +4.2593e+00 -1.2117e+00
84105 +4.269640519e+07 +4.269640519e+07 +4.269578408e+07 +4.269578408e+07 -3.7057e+00 +1.3295e+00 +1.4011e+00 -4.1827e+00 +4.3381e+00 -2.7264e+00 -6.1316e-01 -1.4213e-01 -1.9959e-01 +1.3526e+00 -6.0611e-02 +1.1308e+00 +4.6164e+00 +1.2228e-01 +4.4202e+00 -2.5852e+00 +1.2514e+00 +6.9274e-01 -1.8042e+00 +5.8294e-01
299028 +3.980833861e+07 +3.980833861e+07 +3.980771750e+07 +3.980771750e+07 -1.2277e+00 +1.9594e+00 -1.5515e+00 -2.9897e+00 -7.3582e-01 -3.0825e+00 +2.0764e+00 -3.7140e-01 +2.3584e+00 +1.4008e+00 +9.3952e-01 +1.5412e+00 +4.8723e+00 +4.3974e-01 +3.3820e+00 -2.1977e+00 +2.9983e+00 +3.7188e+00 -4.1578e+00 +8.6640e-01
