% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.851267288e+06 +1.851267288e+06 +1.851303188e+06 +1.851303188e+06 +3.2866e+00 -2.0170e+00 -4.0031e+00 -4.8139e+00 +1.8903e+00 +4.8935e+00 +1.8869e+00 -7.9147e-01 -4.5187e+00 +3.0685e+00 -3.4753e+00 -3.7955e+00 +2.9593e+00 +4.3811e-02 +2.1402e+00 -2.8804e-01 +4.2273e+00 -1.3792e+00 -1.4843e+00 -3.0520e+00
2 +1.164310185e+06 +1.164310185e+06 +1.164346085e+06 +1.164346085e+06 +4.3896e+00 -3.7065e+00 -2.1464e+00 -1.9583e+00 +2.8180e+00 -3.7501e+00 -1.4430e+00 -4.4327e+00 +2.0251e+00 +8.6918e-01 -2.9943e+00 +1.6802e+00 -2.0007e+00 +3.8256e+00 +5.0712e-01 -4.6465e+00 +3.2231e+00 +4.9617e+00 +1.8565e+00 +3.4712e+00
3 +1.143736972e+06 +1.143736972e+06 +1.143772872e+06 +1.143772872e+06 -6.6627e-01 +2.6109e+00 -4.6435e+00 -3.6193e+00 -4.8997e+00 -1.9082e+00 +3.0925e+00 -1.4228e+00 +2.2818e+00 -1.7537e+00 -6.5229e-01 +3.9012e+00 +2.3992e+00 +1.3428e+00 +1.3089e+00 +2.5532e+00 -2.2468e+00 -1.5947e+00 -4.0600e+00 +1.6998e+00
6 +9.160520981e+05 +9.160520981e+05 +9.160879981e+05 +9.160879981e+05 +2.1634e-01 +3.7507e+00 +3.9048e+00 -3.3332e+00 -2.8007e+00 +1.4627e+00 -7.0078e-01 -4.0087e+00 +3.7708e+00 -9.4725e-02 -2.7692e+00 -2.0871e+00 -4.3088e+00 -7.7858e-01 +3.1685e+00 +2.9661e-01 -2.6982e+00 -2.5921e+00 -4.7174e+00 -1.7005e+00
39 +5.828246208e+05 +5.828246208e+05 +5.828605208e+05 +5.828605208e+05 +5.4182e-01 +1.0376e+00 +1.7566e+00 +4.6897e+00 +7.8787e-01 -2.5013e+00 -2.6075e+00 -7.9304e-01 -1.4312e+00 -3.7018e+00 -3.3286e+00 +4.5135e+00 -9.3725e-01 -2.4331e+00 +3.2684e+00 +3.4889e-03 +1.6008e+00 +1.4354e+00 +4.5333e+00 -6.4180e-01
111 +5.740756016e+05 +5.740756016e+05 +5.741115016e+05 +5.741115016e+05 +3.7054e+00 +4.0937e+00 -1.7384e-01 +2.2020e+00 +2.2461e+00 -2.3929e+00 -3.5928e+00 +1.8662e+00 -1.8764e+00 -2.5413e+00 -4.2317e+00 +2.2296e-01 -4.0413e+00 -1.5151e+00 -1.5169e+00 -8.1918e-02 +2.7504e+00 +4.4308e+00 -3.8690e+00 -6.5807e-01
439 +3.862235157e+05 +3.862235157e+05 +3.862594157e+05 +3.862594157e+05 +3.1991e+00 -4.8005e+00 +4.2353e+00 +2.7793e+00 +3.6198e-01 -3.5302e+00 +3.5720e+00 -4.3388e+00 +3.2687e+00 -4.2601e+00 +4.7890e-01 +9.2063e-02 -3.2098e+00 +1.6104e-01 -1.3387e+00 -2.1541e-01 -3.5876e-01 +4.8899e+00 -4.2692e+00 -4.0438e+00
651 +3.034127074e+05 +3.034127074e+05 +3.034486074e+05 +3.034486074e+05 -1.3038e+00 +4.8497e+00 +3.2887e+00 +2.4269e+00 -4.9106e+00 -2.2772e+00 +1.1851e+00 -2.0844e+00 +3.6704e+00 -2.1219e+00 -3.0472e+00 -1.0034e+00 +4.8359e-01 -7.2765e-01 +1.5500e-01 -2.7390e+00 -2.3855e+00 +4.7312e+00 +2.4686e+00 -3.4056e+00
7877 +2.764302898e+05 +2.764302898e+05 +2.764661898e+05 +2.764661898e+05 -3.4475e+00 +4.1986e+00 +3.6318e+00 +3.5071e+00 -3.6893e+00 -4.7419e+00 -2.2869e+00 -4.7733e+00 +2.4159e+00 -3.4559e+00 +3.2261e+00 +6.8193e-01 +3.6043e+00 -4.4624e+00 -1.3281e+00 -1.9927e+00 -1.4160e+00 +2.7150e+00 -3.7343e+00 -4.8754e+00
11491 +2.660348985e+05 +2.660348985e+05 +2.660707985e+05 +2.660707985e+05 +1.3749e+00 +4.6233e+00 +3.5436e+00 +4.0102e+00 -4.8848e+00 -1.2444e+00 -1.2272e+00 -3.0168e+00 -3.6465e+00 -1.1394e-02 -4.2967e+00 +5.0740e-01 +3.6667e+00 -1.1083e+00 +4.4268e+00 -3.1033e+00 -8.4417e-01 +1.5083e+00 +9.0252e-01 +3.1817e+00
